Player,Team,Agents,RND,Rating,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,Clutches,KMax,K,D,A,FK,FD
Lateu,fuVi,,587,0.82,159.4,0.78,68%,102.9,0.55,0.32,0.06,0.11,20%,8%,8/103,18,323,414,185,38,62
Silliam,Proj,,200,0.82,163.9,0.74,69%,98.8,0.56,0.40,0.04,0.12,27%,15%,4/26,16,112,151,79,7,24
Mikey,DTL,,390,0.82,185.9,0.80,68%,118.5,0.60,0.21,0.11,0.09,20%,14%,8/59,20,235,292,82,42,35
Masic,S2G,,214,0.82,173.6,0.83,71%,121.9,0.61,0.14,0.15,0.12,23%,5%,1/21,26,131,157,31,33,26
Jiha,SRP,,365,0.82,171.3,0.80,69%,113.6,0.60,0.19,0.06,0.08,32%,26%,9/35,21,219,275,68,21,29
MerSa,FFV,,234,0.82,149.0,0.76,65%,101.8,0.53,0.32,0.02,0.04,20%,9%,4/46,18,123,162,75,5,9
Kuro,RAF,,395,0.82,179.9,0.78,66%,105.6,0.61,0.28,0.08,0.11,26%,23%,8/35,25,241,309,111,31,44
gobera,2G,,276,0.82,181.5,0.78,67%,122.9,0.60,0.24,0.07,0.12,27%,9%,3/35,19,166,212,67,19,32
parii,,,283,0.82,199.7,0.85,67%,134.7,0.70,0.16,0.15,0.17,41%,15%,3/20,25,197,231,44,42,47
Exirst,MEAT,,225,0.82,168.7,0.77,65%,100.5,0.59,0.30,0.08,0.09,25%,6%,2/31,18,132,172,68,19,20
Trinity,DXE,,230,0.82,201.8,0.88,65%,137.0,0.73,0.15,0.13,0.26,26%,13%,2/16,32,169,192,34,29,59
A1mly,GMX,,220,0.81,159.6,0.80,65%,110.7,0.57,0.17,0.06,0.09,34%,23%,6/26,20,126,158,38,13,19
kora,CAT,,265,0.81,205.8,0.86,67%,120.3,0.71,0.14,0.17,0.18,40%,8%,1/12,21,189,220,37,46,48
HakuNa,RIG.L,,235,0.81,163.7,0.75,62%,111.7,0.55,0.22,0.06,0.08,26%,8%,3/37,15,130,174,51,15,18
HestiA,NF,,230,0.81,163.2,0.71,63%,110.7,0.55,0.34,0.06,0.10,33%,6%,2/35,23,126,177,79,13,22
kyi,INF.EC,,212,0.81,154.2,0.74,66%,103.3,0.53,0.24,0.07,0.12,28%,19%,5/26,28,113,152,50,15,26
bnj,FVN,,296,0.81,159.4,0.76,67%,107.9,0.55,0.35,0.04,0.10,30%,11%,5/44,24,163,214,103,12,29
tinchoff,ZEN,,250,0.81,159.6,0.77,66%,103.6,0.55,0.25,0.05,0.09,34%,12%,3/25,19,137,179,63,13,22
Sylvan,T1,,205,0.81,161.6,0.71,69%,111.8,0.55,0.41,0.05,0.11,25%,19%,5/27,18,112,157,85,10,23
Crws,TLN,,305,0.81,163.7,0.76,64%,114.9,0.55,0.23,0.06,0.11,27%,14%,5/35,20,169,222,70,19,33
Ache,,,236,0.81,177.5,0.80,64%,115.2,0.60,0.20,0.11,0.11,17%,18%,4/22,23,142,177,47,25,27
irena,,,273,0.81,165.8,0.75,67%,102.9,0.58,0.29,0.06,0.10,24%,8%,3/39,25,158,211,79,17,26
Miyori,HERO,,459,0.81,180.0,0.79,65%,120.9,0.61,0.23,0.11,0.16,24%,18%,7/38,22,279,353,105,52,73
aikasuperfan,LBCC,,221,0.81,199.9,0.81,62%,126.4,0.70,0.16,0.13,0.17,39%,14%,2/14,21,155,191,35,29,38
Awayk,DRX.AC,,290,0.81,196.8,0.86,60%,124.6,0.69,0.16,0.13,0.19,23%,13%,2/15,22,200,233,47,39,55
Nora,ZER.M,,387,0.80,196.8,0.82,64%,131.4,0.69,0.20,0.18,0.22,23%,4%,1/24,28,267,325,78,69,84
sonarr,APX,,232,0.80,177.5,0.70,65%,122.7,0.59,0.29,0.07,0.08,27%,2%,1/46,19,137,196,67,16,19
Benderr,CCG,,255,0.80,161.8,0.76,62%,115.2,0.57,0.16,0.06,0.11,23%,14%,5/35,17,146,191,40,15,28
Drago,TNX,,308,0.80,161.8,0.75,65%,107.4,0.58,0.28,0.06,0.06,23%,19%,10/52,19,179,239,87,20,19
vex,VSH,,215,0.80,192.6,0.84,60%,128.4,0.67,0.11,0.16,0.17,25%,17%,3/18,21,143,171,24,35,37
neT,C9,,388,0.80,168.0,0.81,69%,107.4,0.58,0.22,0.09,0.08,30%,8%,3/40,18,224,277,84,33,32
Overtime,,,267,0.80,177.6,0.72,62%,118.2,0.59,0.22,0.06,0.13,19%,14%,6/43,18,158,219,60,16,36
Kace,Cumb,,264,0.80,178.2,0.78,67%,123.5,0.61,0.26,0.12,0.16,23%,15%,4/26,23,161,207,69,32,41
egpo,EXZ,,263,0.80,178.0,0.82,62%,115.4,0.64,0.22,0.06,0.12,32%,6%,2/31,25,169,205,58,17,31
laddermoves,BKR,,321,0.80,190.6,0.82,65%,127.1,0.65,0.18,0.08,0.09,20%,9%,5/55,21,209,255,57,25,28
Wild0reoo,TS,,237,0.80,178.4,0.82,67%,115.5,0.63,0.17,0.16,0.21,22%,14%,1/7,22,149,182,40,34,45
Newky,Baby,,249,0.80,174.1,0.73,70%,109.1,0.58,0.43,0.08,0.07,28%,16%,3/19,19,144,198,108,19,18
Setrod,,,238,0.80,184.2,0.83,66%,119.6,0.63,0.22,0.13,0.21,22%,36%,4/11,25,150,180,52,31,50
Boostio,100T,,586,0.79,158.3,0.76,64%,108.1,0.55,0.25,0.07,0.11,31%,11%,7/61,24,324,428,149,41,64
Estrella,DRX,,743,0.79,164.1,0.87,70%,101.0,0.57,0.31,0.05,0.09,27%,13%,7/54,22,426,492,229,28,48
zaj,YDZ,,235,0.79,187.8,0.80,59%,127.3,0.65,0.15,0.08,0.12,29%,9%,2/22,25,152,191,35,18,28
Xhowi,FSN,,270,0.79,169.0,0.77,70%,114.6,0.58,0.26,0.06,0.11,28%,10%,2/20,18,156,202,69,16,29
Mikey Tap,9ZG,,294,0.79,170.1,0.82,64%,110.9,0.62,0.17,0.09,0.15,23%,8%,1/13,24,182,222,51,26,44
iIyas,F5 E,,219,0.79,169.8,0.78,65%,115.6,0.62,0.17,0.09,0.11,28%,14%,5/35,29,135,173,38,20,24
Garpa,MORI,,459,0.78,158.4,0.68,66%,107.4,0.53,0.29,0.04,0.06,23%,11%,8/73,17,243,358,134,18,29
Mega,3BL,,228,0.78,165.5,0.73,59%,112.6,0.57,0.25,0.07,0.12,23%,14%,4/28,20,131,179,56,15,27
roqueroqueroque,,,344,0.78,168.6,0.74,60%,117.7,0.59,0.17,0.07,0.11,22%,15%,10/67,27,203,273,60,25,38
hitti,,,474,0.78,152.6,0.72,65%,100.6,0.54,0.35,0.07,0.08,34%,11%,7/63,22,255,352,164,31,36
thyy,TLN,,305,0.78,154.4,0.73,68%,100.1,0.53,0.32,0.06,0.07,34%,14%,5/35,17,163,223,99,18,22
Quick,UCAM,,282,0.78,157.1,0.75,68%,109.2,0.53,0.24,0.07,0.10,23%,21%,6/29,16,150,200,68,19,28
sherb,Astr,,608,0.78,168.3,0.74,62%,115.3,0.57,0.22,0.06,0.13,26%,10%,9/88,24,347,468,136,38,77
BENJIKINN,,,227,0.78,165.9,0.70,63%,112.2,0.56,0.28,0.08,0.14,27%,13%,4/30,18,127,181,64,18,32
Jieni7,EDG,,295,0.78,171.5,0.78,70%,106.4,0.59,0.36,0.11,0.15,31%,,,20,173,223,105,19,26
Albaladejo,,,245,0.77,169.3,0.73,68%,119.0,0.58,0.32,0.06,0.09,25%,10%,2/20,21,143,196,79,15,22
Anyzex,XOXO,,396,0.77,161.9,0.76,66%,111.0,0.55,0.18,0.10,0.12,29%,9%,5/57,20,219,289,73,40,49
casuaL,KUMA,,206,0.77,163.7,0.74,68%,113.4,0.57,0.30,0.09,0.17,34%,24%,4/17,19,117,159,62,19,35
TvirusLuke,TEC,,354,0.77,188.8,0.84,64%,119.8,0.64,0.14,0.15,0.25,28%,,,21,227,269,51,25,40
Dariari,,,273,0.77,149.8,0.65,65%,95.3,0.50,0.35,0.04,0.05,33%,10%,3/31,17,137,211,96,11,15
seokJ,GGA,,239,0.77,169.4,0.73,68%,101.1,0.58,0.36,0.06,0.12,20%,8%,1/13,16,138,188,87,14,29
Lychii,TTS,,226,0.76,150.2,0.64,65%,95.5,0.50,0.32,0.05,0.10,17%,3%,1/36,16,112,175,72,11,23
S3AN,west,,285,0.76,146.5,0.64,62%,101.0,0.50,0.24,0.04,0.07,33%,16%,8/50,19,143,223,69,11,19
KNZY,TXR,,206,0.76,153.5,0.68,67%,103.1,0.50,0.46,0.03,0.05,16%,3%,1/29,21,103,151,95,6,11
vii,ZEN.GC,,315,0.76,169.1,0.70,67%,113.1,0.57,0.28,0.14,0.15,29%,8%,2/24,22,181,258,89,43,46
yong,DRX.AC,,290,0.76,153.5,0.70,65%,100.5,0.53,0.34,0.07,0.09,36%,17%,6/36,19,154,219,98,20,26
Xzin,CNE.GC,,308,0.76,194.8,0.82,66%,126.3,0.68,0.14,0.12,0.12,35%,12%,4/34,20,210,256,42,36,38
HANLING,FVN,,296,0.76,149.7,0.67,66%,104.5,0.49,0.30,0.02,0.09,31%,3%,1/29,24,146,219,90,6,26
Casual Scrub,NUG,,352,0.76,153.5,0.63,66%,103.2,0.49,0.43,0.03,0.09,22%,8%,4/53,18,174,276,153,12,31
theia,FLY,,522,0.76,152.7,0.70,69%,104.0,0.51,0.37,0.07,0.11,26%,11%,9/79,25,267,384,193,35,58
By0b1n,,,262,0.76,166.9,0.74,63%,104.4,0.58,0.32,0.06,0.10,17%,15%,3/20,18,153,208,85,16,26
sumii,,,352,0.76,149.7,0.77,67%,84.9,0.53,0.34,0.04,0.07,18%,21%,8/38,19,186,242,119,15,25
Zyppan,M8,,224,0.76,146.9,0.69,63%,100.5,0.51,0.20,0.05,0.09,24%,10%,3/31,22,114,165,44,11,21
Kezyun,PSE.GC,,214,0.75,159.4,0.80,65%,103.4,0.66,0.14,0.20,0.18,28%,9%,1/11,23,141,176,29,42,39
aneXcks,PRS.X,,228,0.75,174.1,0.72,62%,102.1,0.60,0.25,0.13,0.17,25%,,0/12,26,137,191,57,30,39
lz,2G,,276,0.75,159.8,0.76,68%,100.9,0.58,0.33,0.10,0.12,39%,17%,5/30,24,159,210,90,27,34
1VLCN,,,227,0.75,141.0,0.65,66%,96.2,0.47,0.27,0.04,0.07,23%,18%,7/38,15,107,164,62,9,17
KaiFu,,,251,0.74,181.2,0.69,60%,117.1,0.61,0.20,0.07,0.13,20%,8%,3/38,23,152,220,50,17,33
artzin,MIBR,,602,0.74,168.8,0.75,67%,111.8,0.57,0.35,0.07,0.14,23%,11%,4/38,24,346,461,208,42,83
Karen,NOS,,261,0.74,164.1,0.66,63%,112.0,0.56,0.35,0.10,0.12,26%,4%,1/26,20,147,223,92,25,31
Polkan,IluZ,,261,0.74,162.9,0.67,62%,111.6,0.56,0.23,0.10,0.14,34%,8%,2/25,20,146,217,59,25,37
Maher,,,210,0.74,150.2,0.71,55%,98.0,0.55,0.18,0.04,0.08,28%,5%,2/39,16,116,164,37,9,17
Midi,XLG,,483,0.73,166.2,0.86,65%,104.3,0.60,0.24,0.05,0.05,33%,,0/5,23,289,335,116,8,8
azoh,HSW,,258,0.73,155.5,0.63,65%,104.8,0.50,0.40,0.07,0.13,19%,8%,3/38,18,130,208,104,17,34
Tman,SHU,,334,0.73,144.2,0.65,63%,93.8,0.49,0.35,0.05,0.05,20%,15%,5/34,17,164,254,116,18,18
StaGGeR,F5 E,,298,0.73,155.1,0.60,69%,107.3,0.50,0.47,0.04,0.07,21%,9%,4/43,20,148,248,139,13,20
kivary,ZEN,,432,0.73,163.2,0.70,63%,108.1,0.55,0.24,0.17,0.21,24%,20%,6/30,20,238,338,104,75,91
Darwin,3BL,,206,0.72,161.7,0.65,63%,107.8,0.53,0.35,0.04,0.15,22%,12%,3/26,20,109,168,73,9,30
3moDJ,,,237,0.72,173.9,0.68,65%,114.6,0.62,0.27,0.05,0.13,24%,10%,4/41,21,146,214,65,12,30
S1ay3rr,SFU,,218,0.72,185.4,0.73,64%,115.6,0.64,0.17,0.13,0.17,27%,7%,1/15,19,139,191,37,29,38
Tootsie,YDZ.GC,,574,0.72,148.6,0.64,60%,105.8,0.50,0.25,0.05,0.13,23%,14%,13/90,22,286,448,143,31,77
sUprhvn,SFU.P,,243,0.72,147.9,0.65,60%,90.2,0.51,0.25,0.05,0.15,26%,20%,8/40,22,125,191,61,13,37
babykiwii,Hype,,283,0.72,152.7,0.72,61%,106.7,0.53,0.17,0.05,0.08,27%,11%,4/37,20,150,208,47,15,24
scape,CCG,,298,0.72,169.3,0.67,66%,112.0,0.57,0.31,0.09,0.14,24%,7%,2/27,22,171,254,93,27,41
Noble,,,358,0.71,170.2,0.66,59%,113.0,0.56,0.25,0.12,0.22,28%,14%,4/29,19,200,305,90,42,77
ANGE1,NAVI,,311,0.71,145.8,0.68,67%,97.5,0.50,0.24,0.08,0.14,32%,16%,5/31,14,156,229,75,25,42
Urango,FUR,,267,0.71,152.5,0.66,63%,105.9,0.52,0.20,0.05,0.14,27%,14%,3/22,22,139,211,53,14,38
Giu,NOVO.NI,,204,0.71,140.1,0.60,58%,97.5,0.48,0.32,0.05,0.07,28%,10%,2/20,14,98,162,66,10,14
Green,west,,285,0.70,164.1,0.62,61%,109.5,0.52,0.27,0.06,0.12,23%,6%,2/32,16,148,237,78,17,35
aurahh,Pros,,207,0.69,172.5,0.67,61%,114.4,0.58,0.17,0.11,0.19,24%,,0/14,20,121,180,36,23,39
papo,,,270,0.69,138.4,0.63,63%,96.3,0.47,0.31,0.07,0.11,17%,17%,7/41,17,127,202,83,18,29
kaiser,MORI,,213,0.68,146.8,0.60,58%,104.2,0.51,0.21,0.04,0.07,23%,16%,6/37,16,109,183,44,8,15
STAVINCI,ATN,,255,0.68,136.5,0.61,62%,92.0,0.48,0.28,0.11,0.11,38%,9%,2/22,21,123,201,71,27,27
Maka,AB3,,248,0.68,159.1,0.68,64%,100.6,0.56,0.27,0.07,0.13,20%,8%,2/24,19,138,202,66,17,33
Cille,HERO,,459,0.67,134.5,0.61,64%,91.6,0.45,0.23,0.05,0.09,29%,17%,6/35,17,207,342,107,22,41
SexyChristian,SAD,,388,0.66,140.6,0.61,61%,96.4,0.49,0.31,0.03,0.06,30%,6%,3/53,22,190,314,119,11,25
tricky,RGE,,322,0.66,164.0,0.73,62%,105.2,0.57,0.16,0.11,0.19,29%,13%,3/24,20,184,251,52,34,60
Md,,,237,0.66,153.3,0.64,62%,104.7,0.54,0.21,0.04,0.11,29%,13%,5/40,20,127,199,49,10,27
Renna,F4T,,244,0.65,133.8,0.62,70%,91.1,0.45,0.30,0.02,0.07,22%,18%,5/28,14,111,180,74,6,17
Black,RAF,,278,0.64,140.1,0.58,60%,93.5,0.47,0.28,0.04,0.11,29%,8%,2/26,20,131,226,77,12,31
taiga,Lion,,233,0.64,159.5,0.65,59%,102.8,0.53,0.16,0.15,0.18,23%,8%,2/26,21,124,190,38,35,43
merge,emer,,251,0.64,126.4,0.52,61%,84.4,0.41,0.32,0.06,0.08,18%,8%,2/25,17,102,195,80,15,20
FengF,TE,,283,,202.2,1.00,,,0.71,0.23,,,,,,22,202,202,64,0,0
Xlele,TE,,283,,184.2,1.04,,,0.66,0.35,,,,,,19,187,180,98,0,0
x1aoWeNz,ALG.GC,,240,,169.4,0.93,,,0.62,0.28,,,,,,21,149,161,68,0,0
Laiyin,ALG.GC,,240,,224.0,1.15,,,0.78,0.17,,,,,,21,188,163,40,0,0
Yusin,ALG.GC,,240,,193.6,1.27,,,0.71,0.43,,,,,,24,171,135,102,0,0
Elina,ALG.GC,,240,,246.8,1.23,,,0.84,0.21,,,,,,25,201,163,51,0,0
