Player,Team,Agents,RND,Rating,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,Clutches,KMax,K,D,A,FK,FD
zMART,GMX,,220,0.92,190.3,0.90,67%,125.8,0.65,0.21,0.05,0.07,33%,23%,6/26,20,144,160,46,11,16
Feniz,EXL,,326,0.92,179.1,0.96,71%,121.5,0.65,0.18,0.05,0.09,29%,18%,8/45,21,211,220,60,16,28
GangPin,T1A,,212,0.92,174.2,0.93,72%,115.6,0.61,0.28,0.05,0.06,29%,13%,4/30,18,130,140,59,10,13
Tag,DSY,,275,0.92,173.4,0.92,71%,117.2,0.61,0.20,0.08,0.08,30%,18%,4/22,18,169,184,55,22,23
Zeo,TTS,,226,0.92,202.5,0.87,62%,134.9,0.71,0.27,0.07,0.09,26%,6%,2/31,24,161,185,61,15,21
ANDYYOSHI,Team,,586,0.92,196.6,0.95,66%,126.4,0.72,0.25,0.06,0.09,29%,26%,15/58,32,422,444,148,36,55
ghost,MORI,,396,0.92,189.5,0.90,63%,128.5,0.66,0.16,0.09,0.09,28%,17%,12/69,22,263,293,64,34,34
JoBa,NBG,,1134,0.92,190.5,0.92,67%,124.4,0.66,0.21,0.10,0.10,24%,11%,15/139,24,750,814,236,113,119
snarly,QOR,,370,0.92,174.5,0.87,69%,119.2,0.60,0.22,0.07,0.03,26%,12%,6/50,21,223,255,83,25,12
Harmonee,ATNR,,296,0.92,186.5,0.85,66%,127.7,0.62,0.30,0.07,0.09,25%,6%,2/35,27,184,217,89,21,28
JuW,MVR.GC,,339,0.92,176.5,0.90,72%,120.5,0.63,0.35,0.06,0.07,30%,8%,3/39,30,215,240,120,19,25
Srx,Stal,,379,0.92,213.1,0.90,65%,124.9,0.73,0.18,0.20,0.19,22%,19%,6/31,29,277,307,68,76,72
Potter,FS,,391,0.92,194.8,0.98,68%,126.3,0.71,0.17,0.17,0.15,33%,11%,3/27,23,276,282,66,67,57
deNaro,2G.AC,,228,0.92,177.1,0.89,75%,119.2,0.58,0.32,0.06,0.06,29%,11%,3/27,20,133,150,73,14,13
berlin,,,237,0.92,203.4,0.89,62%,131.8,0.72,0.11,0.17,0.15,27%,4%,1/25,24,170,191,26,41,35
Monyet,RRQ,,531,0.92,184.8,0.89,69%,122.5,0.66,0.32,0.09,0.13,29%,16%,9/55,25,348,392,172,49,67
sambae,YDZ,,687,0.92,182.9,0.92,69%,119.8,0.65,0.23,0.07,0.08,37%,11%,10/89,23,449,490,156,47,52
Kushy,RRQ,,531,0.92,182.3,0.89,71%,124.4,0.65,0.28,0.05,0.06,32%,17%,9/52,31,344,385,150,24,32
atlas,PHX,,341,0.92,200.5,0.92,65%,132.4,0.70,0.22,0.10,0.11,27%,22%,9/41,24,239,261,75,34,36
Czester,GN,,289,0.92,196.3,0.93,74%,128.0,0.70,0.41,0.09,0.12,31%,15%,4/26,26,201,217,119,25,34
Vefa,,,413,0.92,172.4,0.89,74%,114.2,0.61,0.37,0.06,0.06,28%,17%,11/66,20,250,281,153,23,24
qRaxs,FUT,,531,0.92,184.3,0.89,68%,122.7,0.66,0.29,0.10,0.08,31%,20%,11/56,40,353,396,153,52,41
Recoil,TSM,,703,0.92,178.6,0.91,71%,120.9,0.64,0.24,0.06,0.09,33%,16%,14/87,23,452,494,168,44,64
shooterR,PHX,,495,0.92,214.5,0.98,64%,141.5,0.75,0.15,0.16,0.19,30%,13%,4/30,25,369,376,76,80,92
DataKiller,ROSE,,370,0.92,202.7,0.93,71%,134.9,0.71,0.24,0.10,0.14,34%,7%,2/29,27,263,283,87,38,52
fraggleton,Tuff,,609,0.92,182.9,0.85,67%,122.7,0.62,0.24,0.04,0.08,26%,10%,10/100,24,379,446,144,25,48
RASCAL,west,,285,0.92,185.7,0.89,60%,127.8,0.68,0.15,0.09,0.12,30%,14%,8/56,26,193,217,43,26,35
kikowo,KNN,,355,0.92,211.6,0.96,69%,140.5,0.73,0.21,0.17,0.17,22%,14%,3/22,23,259,270,73,60,62
Jar,ERIN,,485,0.92,193.1,0.83,66%,124.6,0.67,0.27,0.09,0.10,30%,8%,7/91,25,323,387,132,45,47
Asuna,100T,,586,0.92,195.2,0.87,71%,129.9,0.65,0.32,0.12,0.13,22%,16%,7/44,21,381,439,188,70,76
SPMAK,TOG,,261,0.92,178.8,0.83,67%,110.8,0.58,0.36,0.05,0.08,18%,15%,4/27,19,152,184,95,12,21
Slammed,Abde,,542,0.92,206.9,0.90,68%,133.9,0.70,0.37,0.13,0.15,27%,16%,11/68,29,380,424,201,72,80
str1keR,TU,,758,0.92,180.3,0.91,69%,122.3,0.65,0.28,0.07,0.10,26%,10%,7/70,26,489,538,215,55,73
KHaaLiD,TU,,813,0.92,177.8,0.88,72%,120.5,0.61,0.35,0.06,0.08,30%,17%,16/96,20,494,562,282,50,63
ArinJi,LLX,,249,0.92,191.3,0.91,64%,126.2,0.67,0.24,0.04,0.11,33%,21%,9/42,26,166,182,60,11,28
bdog,YFP,,464,0.92,174.5,0.87,73%,107.6,0.62,0.43,0.08,0.07,22%,12%,6/52,23,287,329,199,35,31
PapaSmurf,Invi,,580,0.91,194.3,0.85,69%,127.6,0.65,0.32,0.07,0.12,20%,10%,9/86,21,377,441,185,42,69
ceeJay,ROSE,,201,0.91,171.4,0.80,65%,118.5,0.58,0.33,0.08,0.06,23%,11%,3/27,15,117,146,67,16,12
ketarys,GHST,,563,0.91,172.8,0.87,74%,114.0,0.62,0.40,0.06,0.05,28%,12%,10/86,23,348,400,226,32,28
Jerado,Cumb,,263,0.91,174.8,0.84,72%,114.4,0.66,0.34,0.05,0.03,25%,16%,5/31,18,173,205,90,13,8
westside,GX,,249,0.91,172.9,0.93,70%,113.8,0.64,0.22,0.06,0.08,46%,14%,6/44,20,160,172,54,14,21
alca,MOX,,243,0.91,184.1,0.84,70%,128.3,0.62,0.27,0.09,0.06,26%,8%,2/25,24,151,179,65,22,15
Collapsed,RAF,,248,0.91,223.4,0.94,62%,140.4,0.79,0.11,0.13,0.20,30%,14%,3/21,27,196,209,27,31,49
Zellsis,SEN,,593,0.91,171.2,0.87,69%,116.1,0.59,0.29,0.08,0.10,23%,13%,9/67,21,348,401,170,50,62
Manny,PRS,,734,0.91,200.7,0.91,66%,129.6,0.69,0.20,0.11,0.12,26%,11%,10/93,23,509,562,149,83,89
dre,ROSE,,410,0.91,191.1,0.86,67%,122.5,0.67,0.32,0.08,0.09,34%,9%,4/47,26,273,317,132,32,37
stax,T1,,246,0.91,183.1,0.89,70%,125.5,0.66,0.31,0.04,0.07,33%,10%,3/31,21,162,183,76,10,16
dynamic,TOR,,286,0.91,213.2,0.92,66%,140.3,0.72,0.19,0.19,0.20,20%,13%,3/23,25,207,226,55,54,56
AlphaFly,CVU,,243,0.91,183.1,0.81,66%,129.9,0.61,0.31,0.08,0.08,27%,25%,8/32,28,149,183,75,20,19
UdoTan,GE,,211,0.91,205.8,0.95,68%,133.1,0.74,0.20,0.14,0.19,25%,18%,2/11,23,156,165,42,26,36
Racoone,The,,917,0.91,185.2,0.89,70%,115.3,0.63,0.31,0.09,0.08,14%,20%,16/81,25,576,646,282,80,77
alexis,SRG,,379,0.91,165.4,0.87,74%,108.0,0.56,0.44,0.04,0.05,28%,5%,2/43,18,211,242,165,15,19
Terrell,Berz,,295,0.91,176.0,0.91,69%,115.8,0.65,0.16,0.09,0.10,29%,20%,14/69,26,192,212,48,27,29
Nelo,G2.G,,783,0.91,194.3,0.96,70%,127.7,0.69,0.21,0.10,0.13,33%,13%,9/67,31,544,565,161,79,98
mepeezy,ULF,,535,0.91,176.8,0.85,70%,119.6,0.61,0.35,0.06,0.06,31%,16%,9/55,22,329,386,185,33,32
Leone,Astr,,470,0.91,195.2,0.83,68%,126.7,0.66,0.31,0.10,0.07,24%,6%,4/66,30,308,371,146,46,34
luiza,2G.GC,,246,0.91,167.2,0.84,69%,115.9,0.57,0.20,0.09,0.08,30%,21%,11/53,18,139,165,50,22,20
JonahP,G2,,714,0.91,166.0,0.83,74%,104.8,0.56,0.48,0.06,0.09,20%,7%,5/73,20,398,481,345,40,66
JitBoyS,TLN,,305,0.91,188.5,0.91,68%,123.0,0.68,0.19,0.12,0.14,38%,14%,5/35,19,208,229,57,36,43
anna,,,352,0.91,195.4,0.88,66%,112.6,0.67,0.25,0.06,0.15,22%,8%,3/37,28,235,268,88,22,53
roxie,VLNT,,373,0.91,178.4,0.91,71%,117.1,0.64,0.21,0.10,0.09,34%,22%,9/41,20,237,261,77,38,33
kyracujoh,ZER.M,,271,0.91,190.3,0.91,63%,129.7,0.68,0.17,0.16,0.18,28%,5%,1/19,33,185,203,46,44,48
Pinkalie,ZER.M,,476,0.90,174.3,0.81,71%,112.6,0.62,0.45,0.06,0.09,26%,17%,9/52,23,293,361,213,28,44
sonder,FLY,,207,0.90,195.1,0.90,72%,127.8,0.68,0.27,0.12,0.15,18%,18%,2/11,24,140,155,56,25,31
