match_id,map_name,team_a,team_b,team_a_win,best_of,event_stage,match_date,acs_diff,kills_diff,deaths_diff,assists_diff
11467,Haven,100 Thieves,NRG,1,Bo3,Main Event: Upper Quarterfinals,2021-03-04,-7.0,-4.0,4.0,4.0
11467,Bind,100 Thieves,NRG,0,Bo3,Main Event: Upper Quarterfinals,2021-03-04,-59.599999999999994,-30.0,30.0,-5.0
11467,Ascent,100 Thieves,NRG,0,Bo3,Main Event: Upper Quarterfinals,2021-03-04,-44.599999999999994,-27.0,25.0,3.0
11468,Icebox,FaZe Clan,T1,1,Bo3,Main Event: Upper Quarterfinals,2021-03-04,34.80000000000001,15.0,-15.0,9.0
11468,Haven,FaZe Clan,T1,1,Bo3,Main Event: Upper Quarterfinals,2021-03-04,15.400000000000006,9.0,-9.0,-8.0
11469,Ascent,Luminosity,TSM,1,Bo3,Main Event: Upper Bracket Semifinals,2021-03-05,16.400000000000006,11.0,-11.0,0.0
11469,Icebox,Luminosity,TSM,1,Bo3,Main Event: Upper Bracket Semifinals,2021-03-05,42.0,23.0,-23.0,7.0
11470,Bind,NRG,FaZe Clan,0,Bo3,Main Event: Upper Bracket Semifinals,2021-03-05,-30.599999999999994,-15.0,15.0,-14.0
11470,Haven,NRG,FaZe Clan,1,Bo3,Main Event: Upper Bracket Semifinals,2021-03-05,14.799999999999983,14.0,-14.0,-11.0
11470,Ascent,NRG,FaZe Clan,0,Bo3,Main Event: Upper Bracket Semifinals,2021-03-05,-31.0,-9.0,9.0,3.0
11471,Icebox,Luminosity,FaZe Clan,0,Bo3,Main Event: Upper Bracket Final,2021-03-06,-5.199999999999989,-3.0,3.0,-1.0
11471,Ascent,Luminosity,FaZe Clan,0,Bo3,Main Event: Upper Bracket Final,2021-03-06,-35.79999999999998,-15.0,15.0,-9.0
11472,Bind,Exorcist.ESC,Aricat Esport Family,0,Bo1,Qualifiers: Semifinals,2021-02-21,-75.60000000000002,-31.0,31.0,-9.0
11473,Bind,Not Ready,Overtime Esports,0,Bo1,Qualifiers: Semifinals,2021-02-21,-57.0,-25.0,25.0,-3.0
11474,Icebox,FaZe Clan,100 Thieves,1,Bo5,Main Event: Grand Final,2021-03-07,38.19999999999999,17.0,-17.0,5.0
11474,Bind,FaZe Clan,100 Thieves,1,Bo5,Main Event: Grand Final,2021-03-07,43.0,20.0,-20.0,7.0
11475,Haven,Kooky Koalas,Gen.G,0,Bo3,Main Event: Lower Round 1,2021-03-04,-8.200000000000017,0.0,0.0,0.0
11475,Ascent,Kooky Koalas,Gen.G,0,Bo3,Main Event: Lower Round 1,2021-03-04,-31.80000000000001,-14.0,14.0,-2.0
11476,Haven,100 Thieves,T1,1,Bo3,Main Event: Lower Round 1,2021-03-04,31.400000000000006,13.0,-13.0,19.0
11476,Icebox,100 Thieves,T1,0,Bo3,Main Event: Lower Round 1,2021-03-04,-114.39999999999998,-42.0,42.0,-24.0
11476,Ascent,100 Thieves,T1,1,Bo3,Main Event: Lower Round 1,2021-03-04,31.80000000000001,14.0,-14.0,1.0
11477,Ascent,NRG,Gen.G,0,Bo3,Main Event: Lower Round 2,2021-03-05,-37.80000000000001,-15.0,15.0,1.0
11477,Haven,NRG,Gen.G,0,Bo3,Main Event: Lower Round 2,2021-03-05,-45.79999999999998,-18.0,18.0,-13.0
11478,Icebox,TSM,100 Thieves,0,Bo3,Main Event: Lower Round 2,2021-03-05,-67.80000000000001,-28.0,28.0,-5.0
11478,Ascent,TSM,100 Thieves,0,Bo3,Main Event: Lower Round 2,2021-03-05,-15.199999999999989,-6.0,6.0,-12.0
11479,Ascent,Gen.G,100 Thieves,0,Bo3,Main Event: Lower Round 3,2021-03-06,-24.0,-16.0,16.0,2.0
11479,Haven,Gen.G,100 Thieves,1,Bo3,Main Event: Lower Round 3,2021-03-06,44.599999999999994,22.0,-22.0,1.0
11479,Bind,Gen.G,100 Thieves,0,Bo3,Main Event: Lower Round 3,2021-03-06,-70.6,-27.0,27.0,-18.0
11480,Icebox,Luminosity,100 Thieves,0,Bo3,Main Event: Lower Final,2021-03-06,-25.799999999999983,-14.0,14.0,-7.0
11480,Ascent,Luminosity,100 Thieves,0,Bo3,Main Event: Lower Final,2021-03-06,-121.20000000000002,-38.0,38.0,-11.0
11481,Icebox,Aricat Esport Family,Overtime Esports,1,Bo1,Qualifiers: Upper Finals,2021-02-21,68.20000000000002,35.0,-36.0,8.0
11484,Ascent,FULL SENSE,Sharper Esport,1,Bo1,Qualifiers: Lower Bracket Round 3,2021-02-21,36.80000000000001,17.0,-17.0,11.0
11493,Bind,Overtime Esports,FULL SENSE,0,Bo1,Qualifiers: Lower Bracket Final,2021-02-21,-43.400000000000006,-23.0,23.0,-8.0
11494,Haven,Aricat Esport Family,FULL SENSE,0,Bo1,Qualifiers: Grand Finals,2021-02-21,-50.19999999999999,-24.0,24.0,-4.0
11495,Icebox,XcN Gaming,VVV,1,Bo1,Qualifier: Round of 8,2021-02-21,37.599999999999994,13.0,-13.0,3.0
11496,Bind,ex-Reckless Lads,ONIC G,1,Bo1,Qualifier: Round of 8,2021-02-21,16.0,8.0,-8.0,23.0
11497,Ascent,WOLFPACK,ex-AING MAUNG Esports,1,Bo1,Qualifier: Round of 8,2021-02-21,53.400000000000006,24.0,-24.0,15.0
11498,Haven,Ethereal,NXL LIGAGAME,0,Bo1,Qualifier: Round of 8,2021-02-21,-81.80000000000001,-29.0,29.0,-20.0
11499,Split,Gambit Esports,Kalash,1,Bo3,Main Event: Quarterfinal,2021-02-21,75.6,29.0,-29.0,7.0
11499,Ascent,Gambit Esports,Kalash,1,Bo3,Main Event: Quarterfinal,2021-02-21,65.0,29.0,-29.0,-1.0
115,TBD,Washed Players,BlackBelts,1,Bo1,Group Stage: Group B,2020-05-12,0.0,0.0,0.0,0.0
11500,Ascent,HONK,REPLY TOTEM,1,Bo3,Main Event: Quarterfinal,2021-02-21,76.79999999999998,32.0,-32.0,12.0
11500,Icebox,HONK,REPLY TOTEM,0,Bo3,Main Event: Quarterfinal,2021-02-21,-35.400000000000006,-16.0,16.0,-12.0
11500,Split,HONK,REPLY TOTEM,1,Bo3,Main Event: Quarterfinal,2021-02-21,59.599999999999994,25.0,-25.0,16.0
11501,Icebox,One Breath Gaming,forZe,0,Bo3,Main Event: Quarterfinal,2021-02-21,8.0,3.0,-3.0,8.0
11501,Haven,One Breath Gaming,forZe,1,Bo3,Main Event: Quarterfinal,2021-02-21,-9.399999999999977,-4.0,4.0,-7.0
11501,Split,One Breath Gaming,forZe,0,Bo3,Main Event: Quarterfinal,2021-02-21,-82.6,-36.0,36.0,-12.0
11502,Bind,CISFAITH,iPon Esport,1,Bo3,Main Event: Quarterfinal,2021-02-21,13.599999999999994,8.0,-8.0,-1.0
11502,Ascent,CISFAITH,iPon Esport,1,Bo3,Main Event: Quarterfinal,2021-02-21,3.1999999999999886,3.0,-3.0,-8.0
11503,Split,Gambit Esports,HONK,0,Bo3,Main Event: Semifinal,2021-02-21,-43.80000000000001,-23.0,23.0,6.0
11503,Ascent,Gambit Esports,HONK,0,Bo3,Main Event: Semifinal,2021-02-21,-0.4000000000000057,0.0,0.0,10.0
11504,Split,forZe,CISFAITH,1,Bo3,Main Event: Semifinal,2021-02-21,14.400000000000006,11.0,-10.0,-4.0
11504,Bind,forZe,CISFAITH,1,Bo3,Main Event: Semifinal,2021-02-21,18.400000000000006,12.0,-12.0,23.0
11505,Split,HONK,forZe,0,Bo3,Main Event: Grand Final,2021-02-21,2.4000000000000057,1.0,-1.0,17.0
11505,Icebox,HONK,forZe,0,Bo3,Main Event: Grand Final,2021-02-21,-16.0,-9.0,7.0,17.0
11547,Split,Last Round Save,PUGSTARS,0,Bo3,Tournament: Grand Finals,2021-02-22,-71.0,-27.0,28.0,-23.0
11547,Bind,Last Round Save,PUGSTARS,0,Bo3,Tournament: Grand Finals,2021-02-22,-22.400000000000006,-11.0,11.0,-18.0
11565,Ascent,Kaizen Esports,Reven Esports,0,Bo1,Main Event: LAN: Upper Semifinals (A),2021-02-23,-31.0,-9.0,9.0,-11.0
11566,Ascent,Arctic Gaming Mexico,PÊEK Gaming,0,Bo1,Main Event: LAN: Upper Semifinals (A),2021-02-23,11.400000000000006,1.0,-1.0,4.0
11567,Bind,Pro Hub Gaming,Akave Esports,0,Bo1,Main Event: LAN: Upper Semifinals (B),2021-02-23,-63.80000000000001,-34.0,34.0,-26.0
11568,Icebox,WALTEM Gaming,Funkboings,0,Bo1,Main Event: LAN: Upper Semifinals (B),2021-02-23,-77.39999999999998,-29.0,29.0,-23.0
11569,Ascent,Reven Esports,Arctic Gaming Mexico,1,Bo3,Main Event: LAN: Lower Round 1 (A),2021-02-23,78.4,30.0,-30.0,16.0
11569,Split,Reven Esports,Arctic Gaming Mexico,1,Bo3,Main Event: LAN: Lower Round 1 (A),2021-02-23,23.400000000000006,13.0,-13.0,9.0
11570,Ascent,Pro Hub Gaming,WALTEM Gaming,1,Bo3,Main Event: LAN: Lower Round 1 (B),2021-02-23,57.19999999999999,19.0,-19.0,15.0
11570,Haven,Pro Hub Gaming,WALTEM Gaming,1,Bo3,Main Event: LAN: Lower Round 1 (B),2021-02-23,50.19999999999999,24.0,-24.0,5.0
11571,Ascent,Stampede Gaming,Typhoon,1,Bo1,Main Event: LAS: Upper Semifinals (A),2021-02-23,63.400000000000006,28.0,-28.0,-5.0
11572,Icebox,Meta Gaming,LEVIATÁN,0,Bo1,Main Event: LAS: Upper Semifinals (A),2021-02-23,-34.20000000000002,-17.0,17.0,8.0
11574,Ascent,9z Team,Procyon Team,0,Bo1,Main Event: LAS: Upper Semifinals (B),2021-02-25,-47.0,-25.0,25.0,-27.0
11575,Bind,Typhoon,Meta Gaming,1,Bo3,Main Event: LAS: Lower Round 1 (A),2021-02-23,12.400000000000006,11.0,-11.0,-6.0
11575,Ascent,Typhoon,Meta Gaming,0,Bo3,Main Event: LAS: Lower Round 1 (A),2021-02-23,-13.600000000000023,-4.0,4.0,-8.0
11575,Haven,Typhoon,Meta Gaming,0,Bo3,Main Event: LAS: Lower Round 1 (A),2021-02-23,-48.400000000000006,-20.0,20.0,-18.0
11577,Bind,paiN Gaming,Liga Uncharted,1,Bo3,Open Qualifier: Round of 16,2021-02-23,56.80000000000001,26.0,-26.0,12.0
11577,Ascent,paiN Gaming,Liga Uncharted,1,Bo3,Open Qualifier: Round of 16,2021-02-23,53.400000000000006,25.0,-25.0,5.0
11580,Bind,REVOADINHA,Stars Horizon,0,Bo3,Open Qualifier: Round of 16,2021-02-23,-15.399999999999977,-7.0,8.0,-2.0
11580,Haven,REVOADINHA,Stars Horizon,1,Bo3,Open Qualifier: Round of 16,2021-02-23,83.6,28.0,-28.0,10.0
11580,Split,REVOADINHA,Stars Horizon,0,Bo3,Open Qualifier: Round of 16,2021-02-23,-59.80000000000001,-25.0,25.0,-18.0
11581,Bind,Keyd Stars,FREEAGENTS,0,Bo3,Open Qualifier: Round of 16,2021-02-23,7.800000000000011,2.0,-2.0,-1.0
11581,Icebox,Keyd Stars,FREEAGENTS,0,Bo3,Open Qualifier: Round of 16,2021-02-23,-37.60000000000002,-20.0,20.0,-9.0
11583,Haven,Squad5,INGAMING Esports,1,Bo3,Open Qualifier: Round of 16,2021-02-23,-0.8000000000000114,-5.0,5.0,6.0
11583,Bind,Squad5,INGAMING Esports,1,Bo3,Open Qualifier: Round of 16,2021-02-23,3.5999999999999943,5.0,-5.0,-1.0
11586,Ascent,DELIRAWOW,Stars Horizon,1,Bo3,Open Qualifier: Quarterfinals,2021-02-23,59.599999999999994,25.0,-25.0,6.0
11586,Haven,DELIRAWOW,Stars Horizon,0,Bo3,Open Qualifier: Quarterfinals,2021-02-23,-12.400000000000006,-11.0,11.0,3.0
