iter	Passed	Remaining
724	88600	155814
725	88743	155728
726	88847	155574
727	88968	155450
728	89099	155343
729	89221	155220
730	89354	155116
731	89480	155002
732	89601	154877
733	89723	154753
734	89849	154639
735	89983	154537
736	90116	154432
737	90242	154316
738	90356	154180
739	90485	154069
740	90608	153948
741	90741	153844
742	90877	153744
743	90998	153620
744	91123	153503
745	91249	153386
746	91371	153264
747	91509	153167
748	91645	153069
749	91776	152960
750	91894	152831
751	92017	152709
752	92159	152620
753	92279	152493
754	92402	152372
755	92525	152251
756	92632	152103
757	92769	152004
758	92884	151870
759	93003	151743
760	93117	151606
761	93237	151479
762	93373	151379
763	93503	151270
764	93638	151167
765	93772	151064
766	93892	150937
767	93989	150775
768	94112	150652
769	94243	150544
770	94373	150434
771	94492	150306
772	94621	150194
773	94749	150081
774	94870	149956
775	94991	149831
776	95095	149680
777	95201	149533
778	95339	149434
779	95452	149298
780	95591	149201
781	95720	149089
782	95847	148973
783	95975	148860
784	96112	148760
785	96249	148660
786	96388	148563
787	96528	148467
788	96662	148362
789	96770	148217
790	96887	148086
791	97021	147982
792	97135	147846
793	97257	147723
794	97387	147613
795	97514	147496
796	97646	147388
797	97778	147280
798	97905	147163
799	98065	147098
800	98239	147052
801	98443	147051
802	98642	147042
803	98783	146946
804	98947	146885
805	99116	146830
806	99295	146789
807	99466	146738
808	99601	146632
809	99754	146553
810	99894	146454
811	100027	146345
812	100171	146252
813	100302	146140
814	100416	146003
815	100548	145894
816	100667	145764
817	100789	145639
818	100920	145527
819	101057	145423
820	101172	145288
821	101308	145183
822	101433	145063
823	101548	144928
824	101684	144822
825	101822	144720
826	101950	144604
827	102073	144480
828	102214	144382
829	102366	144299
830	102494	144182
831	102615	144056
832	102758	143960
833	102884	143840
834	103009	143720
835	103131	143594
836	103253	143469
837	103384	143356
838	103493	143212
839	103631	143110
840	103756	142988
841	103870	142852
842	103988	142722
843	104107	142592
844	104243	142486
845	104369	142366
846	104502	142256
847	104630	142139
848	104760	142025
849	104899	141923
850	105027	141805
851	105142	141671
852	105245	141520
853	105373	141402
854	105496	141278
855	105627	141165
856	105747	141038
857	105875	140920
858	105987	140781
859	106097	140640
860	106231	140531
861	106340	140389
862	106477	140283
863	106594	140151
864	106716	140026
865	106864	139935
866	106993	139820
867	107113	139691
868	107244	139578
869	107381	139472
870	107513	139360
871	107643	139244
872	107784	139144
873	107906	139018
874	108040	138909
875	108179	138805
876	108319	138703
877	108446	138583
878	108571	138462
879	108704	138351
880	108828	138228
881	108945	138096
882	109104	138017
883	109218	137881
884	109363	137785
885	109488	137663
886	109623	137554
887	109752	137437
888	109889	137331
889	110025	137222
890	110148	137098
891	110259	136959
892	110379	136830
893	110504	136708
894	110617	136572
895	110742	136449
896	110857	136316
897	110972	136182
898	111092	136054
899	111219	135934
900	111329	135794
901	111448	135666
902	111572	135542
903	111684	135405
904	111802	135275
905	111929	135154
906	112054	135034
