match_id,map_name,team_a,team_b,team_a_win,best_of,event_stage,match_date,acs_diff,kills_diff,deaths_diff,assists_diff
184522,Pearl,Paper Rex,DRX,1,Bo5,Playoffs: Grand Final,2023-05-28,19.399999999999977,13.0,-13.0,12.0
184522,Bind,Paper Rex,DRX,1,Bo5,Playoffs: Grand Final,2023-05-28,52.79999999999998,24.0,-24.0,11.0
184522,Lotus,Paper Rex,DRX,1,Bo5,Playoffs: Grand Final,2023-05-28,78.39999999999998,31.0,-31.0,15.0
189050,Ascent,LEVIATÁN,FURIA,0,Bo3,Playoffs: Upper Round 1,2023-05-23,-38.39999999999998,-21.0,21.0,-4.0
189050,Pearl,LEVIATÁN,FURIA,1,Bo3,Playoffs: Upper Round 1,2023-05-23,0.8000000000000114,2.0,-2.0,17.0
189050,Bind,LEVIATÁN,FURIA,0,Bo3,Playoffs: Upper Round 1,2023-05-23,-36.80000000000001,-18.0,17.0,-10.0
189051,Haven,NRG,Evil Geniuses,1,Bo3,Playoffs: Upper Round 1,2023-05-23,2.799999999999983,5.0,-5.0,15.0
189051,Split,NRG,Evil Geniuses,0,Bo3,Playoffs: Upper Round 1,2023-05-23,-15.400000000000006,-7.0,7.0,-6.0
189051,Ascent,NRG,Evil Geniuses,0,Bo3,Playoffs: Upper Round 1,2023-05-23,-39.79999999999998,-19.0,20.0,6.0
189052,Haven,LOUD,FURIA,1,Bo3,Playoffs: Upper Semifinals,2023-05-24,81.4,32.0,-32.0,9.0
